question,answer,topic
What is flaccid?,"Soft, not erect.",medicine
What is flare?,Reappearance or worsening of symptoms.,medicine
What is flat feet?,A condition in which the arch is flat all the time or flattens when bearing weight.,medicine
What is flatulence?,Excess gas in the stomach or intestines that is expelled from the anus.,medicine
What is flatus?,Gas expelled through the anus.,medicine
What is flavonoids?,"Chemicals found in fruits, vegetables, wine, and tea that may protect cells from damage and have health benefits.",medicine
What is flex?,"Bend a joint (for example, flexing the knees).",medicine
What is flexibility?,A component of physical fitness that refers to the range of motion available at a joint.,medicine
What is floaters?,"Tiny spots or lines that appear in a person’s field of vision when the jelly-like fluid of the eye breaks down with age. They are usually harmless, but can signal serious eye problems.",medicine
What is flow?,"A term coined by positive psychology pioneer Mihaly Csikszentmihalyi to describe an effortless, active state of being during which one loses awareness of time, self, and distractions. Flow hinges on balancing the size of a challenge and the level of skill a person brings to it.",medicine
What is fluoride?,A mineral that protects teeth from decay and cavities.,medicine
What is folic acid?,"A B vitamin which reduces the risk of a baby being born with a spinal defect such as spina bifida. Ideally, a woman should take folic acid (400 micrograms) 3 months before conceiving. All women should take it for the first 12 weeks of pregnancy. A higher dosage (5 mg) is recommended if you are overweight, on epilepsy treatment, are diabetic or are having twin/triplets.",medicine
What is follicle?,The part of the ovary where the egg develops.,medicine
What is food allergies?,Sensitivities to certain foods that can cause symptoms ranging from the mild (like hives) to the life threatening (such as anaphylaxis).,medicine
What is fracture?,A break in a bone.,medicine
What is frontal lobe?,Part of the brain that plays a role in determining consequences and choosing behaviors.,medicine
What is frozen shoulder?,"Inflammation of various tissues of the shoulder, along with growth of abnormal bands of tissue that cause the shoulder to become so stiff that movement is severely limited.",medicine
What is fructose?,"A simple sugar found in corn syrup, honey, and many sweet fruits.",medicine
What is fungus?,"Organisms and microorganisms, such as yeasts and molds, that can live as a parasite on plants and animals.",medicine
What is g spot?,"An erogenous zone located in the front vaginal wall, believed to be sensitive to sexual stimulation and associated with female orgasm.",medicine
What is gait cycle?,"The cycle that the feet and legs make when walking, beginning when one heel hits the ground and ending when the same heel hits the ground again.",medicine
What is gallbladder?,"A small, pear-shaped organ located beneath the liver that stores and releases bile, a digestive fluid that helps to break down fats.",medicine
What is gangrene?,Death of tissue in part of the body because blood has stopped flowing there.,medicine
What is gastric?,Relating to the stomach.,medicine
What is gastritis?,Inflammation of the lining of the stomach.,medicine
What is gastrocnemius?,"A muscle located in the back of the lower leg, responsible for plantarflexion of the foot and flexion of the knee.",medicine
What is gastrointestinal?,"Relating to all or some of the organs of the digestive tract, from the mouth to the anus.",medicine
What is gene?,Structures on chromosomes that are passed from parent to child. The basic unit of material that passes traits from parent to child.,medicine
What is gene therapy?,Correction of a genetic defect by replacing an abnormal gene with a normal gene.,medicine
What is genitals?,"The sexual organs: in a woman, the vagina and vulva; and in a man, the penis and testicles.",medicine
What is gestation?,"The time between conception and birth, when the fetus grows and develops inside the mother’s womb.",medicine
What is gingivitis?,Inflammation of the gums.,medicine
What is gland?,"Any organ or tissue that secretes fluids, such as hormones, for use elsewhere in the body or as waste.",medicine
What is glans penis?,The head of the penis.,medicine
What is glaucoma?,"A condition in which the pressure inside the eye is too high, causing eye damage.",medicine
